,Latitude,Longitude,Residual
1231,38.613779,-121.36801399999999,5.261299
2412,34.403052,-119.45791399999999,0.813797
2124,33.362593,-117.09023,8.77351
122,36.597442,-119.50365900000001,9.388805
2238,32.845709,-117.12396399999999,20.397339
1070,33.996359999999996,-117.4924,8.805283
2399,34.489740000000005,-120.04692,8.160767
572,34.1326,-118.1272,11.353325
339,36.710833,-119.7775,5.7577667
1500,38.56844,-121.49311000000002,18.401474
1302,38.613779,-121.36801399999999,8.195953
1570,38.613779,-121.36801399999999,3.7513084
2339,34.489740000000005,-120.04692,4.5594673
1974,32.57816,-116.92135,12.782757
1959,32.789565,-116.944308,35.78032
2991,37.338135,-121.849783,45.015747
827,33.901389,-118.205,1.6796875
1722,34.05977,-117.14731,12.62825
1254,38.613779,-121.36801399999999,10.815418
1007,33.708529999999996,-116.21537,0.3811493
3036,36.999571,-121.574684,28.867104
833,33.859662,-118.20070700000001,5.9021225
2325,34.489740000000005,-120.04692,0.97390366
1157,33.944713,-116.830074,16.903214
311,36.710833,-119.7775,6.4517975
2666,34.489740000000005,-120.04692,5.095291
1710,34.05977,-117.14731,3.5003967
2811,37.079378999999996,-121.600031,16.360489
1901,34.030833,-117.61721999999999,15.831131
237,36.819449,-119.71643300000001,15.824341
1539,38.613779,-121.36801399999999,14.060898
2593,34.942871999999994,-120.43561100000001,9.30143
1794,34.106678,-117.27406299999998,17.939804
2338,34.725352,-120.42871699999999,9.389072
910,33.708529999999996,-116.21537,10.563179
1582,38.494475,-121.21113100000001,10.377197
2994,37.338135,-121.849783,21.616234
481,32.67618,-115.48307,5.408722
2103,33.362593,-117.09023,0.5345268
2295,32.57816,-116.92135,24.80513
2922,37.348496999999995,-121.894898,21.028477
2114,32.57816,-116.92135,13.046402
1673,35.1019,-115.7767,0.6273575
1479,38.56844,-121.49311000000002,83.66164
1411,38.613779,-121.36801399999999,53.968018
2820,36.999571,-121.574684,10.873524
151,36.597442,-119.50365900000001,5.8811493
10,36.785379999999996,-119.77321,5.4500465
2281,33.362593,-117.09023,39.81392
2158,33.362593,-117.09023,0.078739166
2291,33.362593,-117.09023,14.267937
2770,37.226862,-121.979675,11.189827
1698,34.05977,-117.14731,2.5565262
1924,34.106678,-117.27406299999998,9.960037
1874,34.10374,-117.62913999999999,26.862518
3041,37.338135,-121.849783,11.099159
2077,33.362593,-117.09023,1.5710831
29,36.819449,-119.71643300000001,3.8411293
351,36.785379999999996,-119.77321,0.5014534
1672,35.1019,-115.7767,0.87771225
3047,37.338135,-121.849783,11.710098
1239,38.494475,-121.21113100000001,7.559654
660,34.14435,-117.85036000000001,15.808075
1947,34.106678,-117.27406299999998,5.8641586
2416,34.489740000000005,-120.04692,0.97278976
1771,34.10374,-117.62913999999999,4.8041153
1298,38.56844,-121.49311000000002,1.8646088
175,36.710833,-119.7775,14.316689
2606,34.427775,-119.69121799999999,6.277069
651,34.38344,-118.5284,36.713074
2020,33.362593,-117.09023,8.816326
302,36.819449,-119.71643300000001,16.748451
53,36.710833,-119.7775,9.126816
727,34.067029999999995,-117.7514,25.972
978,33.996359999999996,-117.4924,10.658585
2958,37.079378999999996,-121.600031,37.565933
2243,32.842318,-116.768293,11.538628
1281,38.494475,-121.21113100000001,15.441017
529,33.859662,-118.20070700000001,17.162163
1882,34.05977,-117.14731,0.43038177
457,32.67618,-115.48307,5.4881744
2575,34.942871999999994,-120.43561100000001,86.40288
2315,33.362593,-117.09023,47.90953
408,32.67618,-115.48307,9.888145
863,33.901389,-118.205,56.951756
2332,34.403052,-119.45791399999999,0.9565697
1392,38.613779,-121.36801399999999,7.489437
766,34.38344,-118.5284,18.798157
2741,37.338135,-121.849783,32.71488
2807,36.999571,-121.574684,1.97118
2185,32.842318,-116.768293,60.80713
2924,36.999571,-121.574684,63.578335
551,34.181977,-118.36303600000001,4.3066177
1607,34.030833,-117.61721999999999,2.6009254
2076,33.362593,-117.09023,14.420437
777,34.181977,-118.36303600000001,1.9089661
2873,37.079378999999996,-121.600031,10.104893
169,36.597442,-119.50365900000001,14.296593
1453,38.71209,-121.38108999999999,18.844452
2752,37.079378999999996,-121.600031,15.183285
1085,33.996359999999996,-117.4924,5.449539
804,34.19925,-118.53276000000001,3.699562
61,36.710833,-119.7775,8.950691
700,34.38344,-118.5284,40.709473
771,34.14435,-117.85036000000001,14.877579
2825,37.348496999999995,-121.894898,5.7408066
45,36.710833,-119.7775,8.122383
839,33.859662,-118.20070700000001,9.31086
1783,34.2431,-117.27235,10.142456
2375,34.725352,-120.42871699999999,8.601597
2068,32.789565,-116.944308,8.809494
2035,32.842318,-116.768293,16.282059
1824,34.05977,-117.14731,1.7304077
2745,37.348496999999995,-121.894898,9.300571
2091,33.362593,-117.09023,18.338512
2154,33.362593,-117.09023,0.2934265
2703,37.338135,-121.849783,4.3014336
2164,32.842318,-116.768293,27.31311
554,33.859662,-118.20070700000001,23.487556
2849,37.338135,-121.849783,3.9656296
1956,32.789565,-116.944308,11.685562
305,36.72639,-119.73299999999999,12.945457
2370,34.54166,-119.79146000000001,3.5781403
737,34.067029999999995,-117.7514,23.26564
404,32.79222,-115.56306000000001,31.117897
1317,38.494475,-121.21113100000001,6.5775185
2657,34.427775,-119.69121799999999,3.3102074
1383,38.613779,-121.36801399999999,12.0864105
2203,33.362593,-117.09023,48.87937
1505,38.593322,-121.503795,7.4941864
3005,37.079378999999996,-121.600031,27.462677
2255,33.362593,-117.09023,5.396332
2009,33.362593,-117.09023,11.058823
2364,34.489740000000005,-120.04692,1.1472206
1121,33.99958,-117.41601000000001,24.677246
2056,33.362593,-117.09023,11.302078
929,33.996359999999996,-117.4924,9.983902
2269,33.362593,-117.09023,0.57582855
406,32.67618,-115.48307,1.4036217
1703,34.05977,-117.14731,9.2034
756,33.859662,-118.20070700000001,1.925415
54,36.710833,-119.7775,10.752945
911,33.996359999999996,-117.4924,3.047165
1492,38.71209,-121.38108999999999,7.5994606
781,34.19925,-118.53276000000001,3.5215378
2484,34.403052,-119.45791399999999,0.53497696
76,36.985119,-119.65833899999998,8.806698
2517,34.54166,-119.79146000000001,2.3135643
888,33.996359999999996,-117.4924,15.60524
1643,34.06812,-117.52578999999999,17.957703
